Flight,To,Airline,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sun,"Valid
date"
,,,Departure time,Departure time,Departure time,Departure time,Departure time,Departure time,Departure time,
MGL301,Seoul/Incheon,,8:40,8:40,8:40,8:40,8:40,8:40,8:40,2026-03-29 - 2026-10-24
MGL307,Seoul/Incheon,,,,,,,18:15,18:15,2026-03-29 - 2026-10-24
KAL2042,Seoul/Incheon,,,,,,,13:00,13:00,2026-03-29 - 2026-05-31
AAR568,Seoul/Incheon,,,0:25,,0:25,,,0:25,2026-03-29 - 2026-10-25
JJA5204,Seoul/Incheon,,,,,,,,13:40,2026-03-29 - 2026-10-24
MNG601,Seoul/Incheon,,,,,,,,,2026-03-30 - 2026-10-19
MNG601,Seoul/Incheon,,,,,,,11:30,,2026-04-01 - 2026-10-24
MGL307,Seoul/Incheon,,,,,,,,,2026-06-01 - 2026-09-30
MGL309,Seoul/Incheon,,,,,,,20:30,20:30,2026-06-01 - 2026-10-01
KAL2042,Seoul/Incheon,,,,,,,13:00,13:00,2026-06-01 - 2026-10-04
AAR568,Seoul/Incheon,,,,0:25,,,0:25,,2026-06-01 - 2026-09-30
JJA5204,Seoul/Incheon,,,,,,,13:40,,2026-06-01 - 2026-09-30
TWB422,Seoul/Incheon,,,,,,,,14:50,2026-06-01 - 2026-09-30
MNG601,Seoul/Incheon,,,,,,,,,2026-06-04 - 2026-09-24
MNG601,Seoul/Incheon,,,,,,,,12:30,2026-06-05 - 2026-09-27
KAL2046,Seoul/Incheon,,0:45,,,,,,,2026-06-07 - 2026-09-28
KAL2042,Seoul/Incheon,,,,,,,13:00,13:00,2026-10-05 - 2026-10-24
