flight,airline,mon,tue,wed,thu,fri,sat,sun,valid_from,valid_to
MGL301,MIAT Mongolian Airlines,08:40,08:40,08:40,08:40,08:40,08:40,08:40,2026-03-29,2026-10-24
MGL307,MIAT Mongolian Airlines,,18:15,,,18:15,18:15,18:15,2026-03-29,2026-10-24
KAL2042,Korean Air,13:00,,13:00,13:00,13:00,13:00,13:00,2026-03-29,2026-05-31
AAR568,Asiana Airlines,,00:25,,00:25,,,00:25,2026-03-29,2026-10-25
JJA5204,Jeju Air,,13:40,,13:40,,,13:40,2026-03-29,2026-10-24
MNG601,Mongolian Airlines,12:10,,,,,,,,2026-03-30,2026-10-19
MNG601,Mongolian Airlines,,,11:30,,,11:30,,2026-04-01,2026-10-24
MGL307,MIAT Mongolian Airlines,,,18:15,18:15,,,,2026-06-01,2026-09-30
MGL309,MIAT Mongolian Airlines,20:30,20:30,20:30,20:30,20:30,20:30,20:30,2026-06-01,2026-10-01
KAL2042,Korean Air,13:00,13:00,13:00,13:00,13:00,13:00,13:00,2026-06-01,2026-10-04
AAR568,Asiana Airlines,,,00:25,,,00:25,,2026-06-01,2026-09-30
JJA5204,Jeju Air,13:40,,,,13:40,,,2026-06-01,2026-09-30
TWB422,T'way Air,14:50,,14:50,,14:50,14:50,,2026-06-01,2026-09-30
MNG601,Mongolian Airlines,,,,12:30,,,,,2026-06-04,2026-09-24
MNG601,Mongolian Airlines,,,,,12:30,,12:30,2026-06-05,2026-09-27
KAL2046,Korean Air,00:45,,,,,,,,2026-06-07,2026-09-28
KAL2042,Korean Air,13:00,,13:00,13:00,13:00,13:00,13:00,2026-10-05,2026-10-24
